Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Montenegro,Europe,628062,324,,9,,315,,0,,516,14,13186,20995,Europe
Myanmar,Asia,54391666,261,,6,,167,2,88,,5,0.1,45926,844,South-EastAsia
Martinique,North America,375278,202,,14,,98,,90,,538,37,,,
Mongolia,Asia,3275404,197,,,,95,,102,11,60,,17605,5375,WesternPacific
Suriname,South America,586365,187,,3,,9,,175,2,319,5,1165,1987,Americas
Cayman Islands,North America,65682,187,,1,,115,,71,,2847,15,17227,262279,
Faeroe Islands,Europe,48854,187,,,,187,,0,,3828,,10863,222356,
Gibraltar,Europe,33691,176,,,,173,1,3,,5224,,10091,299516,
Guadeloupe,North America,400121,171,,14,,157,,0,,427,35,5691,14223,
Syria,Asia,17475529,170,6,6,,71,3,93,,10,0.3,,,EasternMediterranean
Comoros,Africa,868536,163,,2,,97,,64,,188,2,,,Africa
Guyana,South America,786367,159,,12,,95,,52,1,202,15,1927,2451,Americas
Bermuda,North America,62288,141,,9,,127,,5,2,2264,144,8430,135339,Americas
Brunei ,Asia,437264,141,,2,,138,,1,1,322,5,24131,55186,
Angola,Africa,32801945,130,,5,,42,,83,1,4,0.2,10000,305,Africa
Cambodia,Asia,16706597,126,,,,125,,1,1,8,,26530,1588,WesternPacific
Trinidad and Tobago,North America,1399271,117,,8,,109,,0,,84,6,3538,2528,Americas
Bahamas,North America,393052,103,,11,,68,,24,1,262,28,2252,5730,Americas
Aruba,North America,106744,101,,3,,98,,0,,946,28,2208,20685,
Monaco,Europe,39228,99,,4,,93,,2,,2524,102,16200,412970,Europe
Barbados,North America,287358,96,,7,,83,,6,1,334,24,6388,22230,Americas
Burundi,Africa,11868767,85,,1,,45,,39,,7,0.08,382,32,Africa
Liechtenstein,Europe,38123,82,,1,,55,,26,,2151,26,900,23608,Europe
Sint Maarten,North America,42851,77,,15,,61,,1,1,1797,350,471,10992,
Bhutan,Asia,771167,62,,,,20,1,42,,80,,20612,26728,South-EastAsia
French Polynesia,Australia/Oceania,280828,60,,,,60,,0,,214,,4262,15177,
